,Penalty,C,Solver,Accuracy,Precision,Recall,F1
0,l2,1,newton-cg,0.8949348044132397,0.9060301507537688,0.885995085995086,0.8959006211180124
1,l2,10,newton-cg,0.9162487462387161,0.9208312716476992,0.9144963144963145,0.9176528599605522
2,l2,20,newton-cg,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
3,none,1,newton-cg,0.9054663991975928,0.914914914914915,0.8982800982800982,0.9065212000991818
4,none,10,newton-cg,0.9054663991975928,0.914914914914915,0.8982800982800982,0.9065212000991818
5,none,20,newton-cg,0.9054663991975928,0.914914914914915,0.8982800982800982,0.9065212000991818
6,l2,1,lbfgs,0.8949348044132397,0.9060301507537688,0.885995085995086,0.8959006211180124
7,l2,10,lbfgs,0.9157472417251755,0.9195061728395062,0.914987714987715,0.9172413793103449
8,l2,20,lbfgs,0.9147442326980942,0.9214321233217305,0.9105651105651106,0.9159663865546219
9,none,1,lbfgs,0.9082246740220662,0.9157947184853015,0.9031941031941032,0.9094507669470561
10,none,10,lbfgs,0.9082246740220662,0.9157947184853015,0.9031941031941032,0.9094507669470561
11,none,20,lbfgs,0.9082246740220662,0.9157947184853015,0.9031941031941032,0.9094507669470561
12,l2,1,sag,0.8949348044132397,0.9060301507537688,0.885995085995086,0.8959006211180124
13,l2,10,sag,0.9162487462387161,0.9208312716476992,0.9144963144963145,0.9176528599605522
14,l2,20,sag,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
15,none,1,sag,0.9139919759277834,0.9238476953907816,0.9061425061425061,0.9149094517489456
16,none,10,sag,0.9119859578736209,0.9218436873747495,0.9041769041769042,0.912924832547755
17,none,20,sag,0.9124874623871615,0.9219219219219219,0.9051597051597051,0.9134639226382346
18,l1,1,saga,0.8751253761283851,0.8934971838197645,0.8574938574938575,0.8751253761283853
19,l1,10,saga,0.9067201604814443,0.914713216957606,0.9012285012285012,0.907920792079208
20,l1,20,saga,0.9087261785356068,0.9187969924812031,0.9007371007371008,0.9096774193548387
21,l2,1,saga,0.8949348044132397,0.9060301507537688,0.885995085995086,0.8959006211180124
22,l2,10,saga,0.9162487462387161,0.9208312716476992,0.9144963144963145,0.9176528599605522
23,l2,20,saga,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
24,none,1,saga,0.9127382146439318,0.9232313095835424,0.9041769041769042,0.913604766633565
25,none,10,saga,0.9132397191574724,0.9224612306153076,0.9061425061425061,0.9142290530490829
26,none,20,saga,0.9132397191574724,0.9224612306153076,0.9061425061425061,0.9142290530490829
