,Solver,Alpha,Accuracy,Precision,Recall,F1
0,auto,0.1,0.918505516549649,0.9191176470588235,0.9213759213759214,0.920245398773006
1,auto,1.0,0.9172517552657974,0.9234972677595629,0.9135135135135135,0.9184782608695653
2,auto,10.0,0.8781344032096289,0.8925494171312722,0.8653562653562653,0.8787425149700598
3,auto,100.0,0.8124373119358074,0.8545454545454545,0.7621621621621621,0.8057142857142856
4,sparse_cg,0.1,0.918505516549649,0.9191176470588235,0.9213759213759214,0.920245398773006
5,sparse_cg,1.0,0.9172517552657974,0.9234972677595629,0.9135135135135135,0.9184782608695653
6,sparse_cg,10.0,0.8781344032096289,0.8925494171312722,0.8653562653562653,0.8787425149700598
7,sparse_cg,100.0,0.8124373119358074,0.8545454545454545,0.7621621621621621,0.8057142857142856
8,sag,0.1,0.9182547642928787,0.9199017199017199,0.9199017199017199,0.9199017199017199
9,sag,1.0,0.9172517552657974,0.9234972677595629,0.9135135135135135,0.9184782608695653
10,sag,10.0,0.8783851554663992,0.8930020283975659,0.8653562653562653,0.878961816820564
11,sag,100.0,0.8121865596790371,0.8544652701212789,0.7616707616707616,0.8054040010392309
