,Kernel,C,Accuracy,Precision,Recall,F1
0,linear,0.1,0.8713640922768305,0.8737721021611002,0.8742014742014742,0.8739867354458364
1,linear,1.0,0.9137412236710131,0.9179436480474543,0.9125307125307125,0.9152291769344505
2,linear,10.0,0.9049648946840522,0.9078817733990148,0.9056511056511056,0.9067650676506764
3,linear,100.0,0.8981945837512537,0.905829596412556,0.8933660933660934,0.8995546759030183
4,poly,0.1,0.8761283851554664,0.9100585417775412,0.8402948402948403,0.8737864077669902
5,poly,1.0,0.9097291875626881,0.935064935064935,0.8845208845208845,0.9090909090909091
6,poly,10.0,0.9164994984954865,0.9460167714884696,0.8869778869778869,0.915546538168907
7,poly,100.0,0.9152457372116349,0.9449396958573676,0.8855036855036855,0.9142567224759005
8,rbf,0.1,0.8788866599799399,0.87890625,0.8845208845208845,0.8817046289493019
9,rbf,1.0,0.9252758274824473,0.9301634472511144,0.9228501228501228,0.9264923532313765
10,rbf,10.0,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
11,rbf,100.0,0.9355566700100301,0.9422885572139303,0.9307125307125307,0.9364647713226205
12,sigmoid,0.1,0.8184553660982948,0.8253101736972704,0.8171990171990172,0.8212345679012346
13,sigmoid,1.0,0.7520060180541625,0.7529013539651838,0.7651105651105651,0.7589568608335364
14,sigmoid,10.0,0.7266800401203611,0.7321867321867321,0.7321867321867321,0.7321867321867321
15,sigmoid,100.0,0.724172517552658,0.7304090685066535,0.7282555282555283,0.7293307086614174
